weight_baseline_sched_cv,weight_baseline_seed7_cv,weight_lower_batch_cv,accuracy
0.04,0.84,0.12,0.8088116875647072
0.04,0.85,0.11,0.8085816173933049
0.04,0.86,0.1,0.8083515472219027
0.04,0.87,0.09,0.8078914068790981
0.04,0.88,0.08,0.8080064419647993
0.04,0.89,0.07,0.807776371793397
0.04,0.9,0.06,0.8081214770505004
0.04,0.91,0.05,0.8073162314505924
0.04,0.92,0.04,0.8070861612791902
0.04,0.93,0.03,0.806971126193489
0.04,0.94,0.02,0.8068560911077879
0.04,0.95,0.01,0.8062809156792822
0.04,0.96,0.0,0.8063959507649833
0.05,0.0,0.95,0.8101921085931209
0.05,0.01,0.94,0.8101921085931209
0.05,0.02,0.93,0.8101921085931209
0.05,0.03,0.92,0.8106522489359255
0.05,0.04,0.91,0.8108823191073278
0.05,0.05,0.9,0.8112274243644312
0.05,0.06,0.89,0.8115725296215346
0.05,0.07,0.88,0.811917634878638
0.05,0.08,0.87,0.8121477050500403
0.05,0.09,0.86,0.8120326699643391
0.05,0.1,0.85,0.8116875647072357
0.05,0.11,0.84,0.8115725296215346
0.05,0.12,0.83,0.8121477050500403
0.05,0.13,0.82,0.8128379155642471
0.05,0.14,0.81,0.8127228804785459
0.05,0.15,0.8,0.8129529506499482
0.05,0.16,0.79,0.8129529506499482
0.05,0.17,0.78,0.8129529506499482
0.05,0.18,0.77,0.8134130909927528
0.05,0.19,0.76,0.8137581962498562
0.05,0.2,0.75,0.8132980559070516
0.05,0.21,0.74,0.8127228804785459
0.05,0.22,0.73,0.8126078453928448
0.05,0.23,0.72,0.8124928103071437
0.05,0.24,0.71,0.8123777752214425
0.05,0.25,0.7,0.8131830208213505
0.05,0.26,0.69,0.8134130909927528
0.05,0.27,0.68,0.8132980559070516
0.05,0.28,0.67,0.8141033015069596
0.05,0.29,0.66,0.8145634418497641
0.05,0.3,0.65,0.8141033015069596
0.05,0.31,0.64,0.813643161164155
0.05,0.32,0.63,0.813643161164155
0.05,0.33,0.62,0.8134130909927528
0.05,0.34,0.61,0.8132980559070516
0.05,0.35,0.6,0.8130679857356494
0.05,0.36,0.59,0.8131830208213505
0.05,0.37,0.58,0.8134130909927528
0.05,0.38,0.57,0.8138732313355573
0.05,0.39,0.56,0.813643161164155
0.05,0.4,0.55,0.8130679857356494
0.05,0.41,0.54,0.8132980559070516
0.05,0.42,0.53,0.8127228804785459
0.05,0.43,0.52,0.8123777752214425
0.05,0.44,0.51,0.8128379155642471
0.05,0.45,0.5,0.8126078453928448
0.05,0.46,0.49,0.8128379155642471
0.05,0.47,0.48,0.8127228804785459
0.05,0.48,0.47,0.8124928103071437
0.05,0.49,0.46,0.8118025997929369
0.05,0.5,0.45,0.8121477050500403
0.05,0.51,0.44,0.8123777752214425
0.05,0.52,0.43,0.8123777752214425
0.05,0.53,0.42,0.811917634878638
0.05,0.54,0.41,0.8121477050500403
0.05,0.55,0.4,0.8115725296215346
0.05,0.56,0.39,0.8118025997929369
0.05,0.57,0.38,0.8112274243644312
0.05,0.58,0.37,0.8118025997929369
0.05,0.59,0.36,0.8123777752214425
0.05,0.6,0.35,0.8124928103071437
0.05,0.61,0.34,0.8123777752214425
0.05,0.62,0.33,0.8120326699643391
0.05,0.63,0.32,0.8114574945358334
0.05,0.64,0.31,0.8109973541930289
0.05,0.65,0.3,0.8109973541930289
0.05,0.66,0.29,0.8107672840216266
0.05,0.67,0.28,0.8104221787645232
0.05,0.68,0.27,0.8101921085931209
0.05,0.69,0.26,0.8096169331646152
0.05,0.7,0.25,0.8093868629932129
0.05,0.71,0.24,0.8093868629932129
0.05,0.72,0.23,0.809501898078914
0.05,0.73,0.22,0.8100770735074198
0.05,0.74,0.21,0.8101921085931209
0.05,0.75,0.2,0.8101921085931209
0.05,0.76,0.19,0.8101921085931209
0.05,0.77,0.18,0.8106522489359255
0.05,0.78,0.17,0.8106522489359255
0.05,0.79,0.16,0.8103071436788221
0.05,0.8,0.15,0.8104221787645232
0.05,0.81,0.14,0.809501898078914
0.05,0.82,0.13,0.8092718279075118
0.05,0.83,0.12,0.8086966524790061
0.05,0.84,0.11,0.8089267226504083
0.05,0.85,0.1,0.8084665823076038
0.05,0.86,0.09,0.8080064419647993
0.05,0.87,0.08,0.8076613367076958
0.05,0.88,0.07,0.8081214770505004
0.05,0.89,0.06,0.8072011963648913
0.05,0.9,0.05,0.8073162314505924
0.05,0.91,0.04,0.8066260209363856
0.05,0.92,0.03,0.8068560911077879
0.05,0.93,0.02,0.8067410560220868
0.05,0.94,0.01,0.8063959507649833
0.05,0.95,0.0,0.8060508455078799
0.06,0.0,0.94,0.8100770735074198
0.06,0.01,0.93,0.8101921085931209
0.06,0.02,0.92,0.8098470033360174
0.06,0.03,0.91,0.8104221787645232
0.06,0.04,0.9,0.8106522489359255
0.06,0.05,0.89,0.81111238927873
0.06,0.06,0.88,0.8118025997929369
0.06,0.07,0.87,0.8118025997929369
0.06,0.08,0.86,0.8121477050500403
0.06,0.09,0.85,0.8118025997929369
0.06,0.1,0.84,0.8116875647072357
0.06,0.11,0.83,0.8118025997929369
0.06,0.12,0.82,0.8115725296215346
0.06,0.13,0.81,0.8126078453928448
0.06,0.14,0.8,0.8128379155642471
0.06,0.15,0.79,0.8129529506499482
0.06,0.16,0.78,0.8128379155642471
0.06,0.17,0.77,0.8137581962498562
0.06,0.18,0.76,0.8132980559070516
0.06,0.19,0.75,0.8131830208213505
0.06,0.2,0.74,0.8132980559070516
0.06,0.21,0.73,0.8127228804785459
0.06,0.22,0.72,0.8124928103071437
0.06,0.23,0.71,0.8123777752214425
0.06,0.24,0.7,0.8124928103071437
0.06,0.25,0.69,0.8134130909927528
0.06,0.26,0.68,0.8135281260784539
0.06,0.27,0.67,0.8132980559070516
0.06,0.28,0.66,0.8135281260784539
0.06,0.29,0.65,0.8137581962498562
0.06,0.3,0.64,0.8135281260784539
0.06,0.31,0.63,0.8132980559070516
0.06,0.32,0.62,0.8135281260784539
0.06,0.33,0.61,0.8128379155642471
0.06,0.34,0.6,0.8130679857356494
0.06,0.35,0.59,0.813643161164155
0.06,0.36,0.58,0.8130679857356494
0.06,0.37,0.57,0.8134130909927528
0.06,0.38,0.56,0.8131830208213505
0.06,0.39,0.55,0.8134130909927528
0.06,0.4,0.54,0.8131830208213505
0.06,0.41,0.53,0.8127228804785459
0.06,0.42,0.52,0.8126078453928448
0.06,0.43,0.51,0.8128379155642471
0.06,0.44,0.5,0.8128379155642471
0.06,0.45,0.49,0.8129529506499482
0.06,0.46,0.48,0.8126078453928448
0.06,0.47,0.47,0.8126078453928448
0.06,0.48,0.46,0.8126078453928448
0.06,0.49,0.45,0.811917634878638
0.06,0.5,0.44,0.811917634878638
0.06,0.51,0.43,0.8121477050500403
0.06,0.52,0.42,0.8116875647072357
0.06,0.53,0.41,0.8121477050500403
0.06,0.54,0.4,0.811917634878638
0.06,0.55,0.39,0.811917634878638
0.06,0.56,0.38,0.8114574945358334
0.06,0.57,0.37,0.8112274243644312
0.06,0.58,0.36,0.8116875647072357
0.06,0.59,0.35,0.8116875647072357
0.06,0.6,0.34,0.8123777752214425
0.06,0.61,0.33,0.8116875647072357
0.06,0.62,0.32,0.8118025997929369
0.06,0.63,0.31,0.8114574945358334
0.06,0.64,0.3,0.8112274243644312
